N,종목명,현재가,전일비,등락률,액면가,거래량,매도호가,주당순이익,보통주배당금
29.0,삼성화재,234500.0,4500.0,+1.96%,500.0,32669.0,236000.0,25315.0,13800.0
30.0,SK텔레콤,50000.0,200.0,+0.40%,100.0,122193.0,50200.0,4532.0,3320.0
31.0,삼성전기,141900.0,500.0,+0.35%,5000.0,153343.0,142300.0,12636.0,2100.0
32.0,두산에너빌리티,15860.0,80.0,+0.51%,5000.0,1177518.0,15910.0,-1044.0,0.0
33.0,HD현대중공업,112500.0,900.0,+0.81%,5000.0,37567.0,112900.0,-3966.0,
34.0,크래프톤,201500.0,1900.0,+0.95%,100.0,52443.0,202000.0,10194.0,
35.0,고려아연,491500.0,0.0,0.00%,5000.0,10061.0,494000.0,40572.0,20000.0
36.0,메리츠금융지주,45750.0,1000.0,+2.23%,500.0,314045.0,45650.0,8155.0,105.0
37.0,삼성에스디에스,120200.0,300.0,+0.25%,500.0,43110.0,120600.0,14213.0,3200.0
38.0,HMM,18370.0,90.0,+0.49%,5000.0,659531.0,18390.0,20623.0,1200.0
39.0,LG생활건강,573000.0,10000.0,+1.78%,5000.0,21969.0,573000.0,13352.0,4000.0
40.0,우리금융지주,11950.0,90.0,+0.76%,5000.0,804727.0,11980.0,4315.0,1130.0
41.0,S-Oil,74500.0,200.0,+0.27%,2500.0,96046.0,74800.0,12854.0,5500.0
42.0,엔씨소프트,374500.0,3500.0,+0.94%,500.0,23718.0,375500.0,19847.0,6680.0
43.0,KT,31400.0,150.0,+0.48%,5000.0,320974.0,31550.0,4835.0,1960.0
44.0,대한항공,22250.0,50.0,-0.22%,5000.0,362778.0,22350.0,3914.0,750.0
45.0,기업은행,10200.0,40.0,+0.39%,5000.0,268988.0,10230.0,3478.0,960.0
46.0,한화솔루션,46500.0,900.0,-1.90%,5000.0,601626.0,46700.0,1958.0,0.0
47.0,롯데케미칼,177400.0,1300.0,-0.73%,5000.0,16389.0,178400.0,1709.0,3329.0
48.0,카카오페이,56600.0,600.0,+1.07%,500.0,87005.0,57000.0,407.0,0.0
49.0,LG이노텍,291500.0,3500.0,+1.22%,5000.0,118014.0,294000.0,41401.0,4150.0
50.0,아모레퍼시픽,116600.0,1300.0,+1.13%,500.0,105766.0,116800.0,1947.0,680.0
51.0,HD한국조선해양,90500.0,500.0,+0.56%,5000.0,105438.0,90900.0,-3065.0,
52.0,SK스퀘어,43750.0,600.0,+1.39%,100.0,177939.0,44200.0,1836.0,
53.0,현대글로비스,164700.0,0.0,0.00%,500.0,22613.0,165900.0,31729.0,5700.0
54.0,SK바이오사이언스,78600.0,1200.0,+1.55%,500.0,68544.0,78900.0,1596.0,
55.0,삼성엔지니어링,30300.0,1400.0,+4.84%,5000.0,1168117.0,30450.0,3392.0,
56.0,SK아이이테크놀로지,82100.0,2400.0,-2.84%,1000.0,127618.0,82800.0,-416.0,
57.0,LG디스플레이,16200.0,320.0,+2.02%,5000.0,569529.0,16200.0,-8584.0,
58.0,KODEX 200,33345.0,325.0,+0.98%,0.0,732898.0,33450.0,,
59.0,SK바이오팜,69900.0,200.0,+0.29%,500.0,24057.0,70400.0,-1361.0,
60.0,한화에어로스페이스,105300.0,1400.0,+1.35%,5000.0,263064.0,105400.0,11284.0,1000.0
61.0,DB손해보험,75000.0,0.0,0.00%,500.0,32791.0,75200.0,13885.0,4600.0
62.0,포스코인터내셔널,30100.0,750.0,-2.43%,5000.0,1430516.0,30350.0,4780.0,1000.0
63.0,F&F,137600.0,1200.0,-0.86%,100.0,25239.0,138400.0,11532.0,1600.0
64.0,두산밥캣,52300.0,300.0,-0.57%,500.0,66998.0,52800.0,7492.0,1350.0
65.0,맥쿼리인프라,12930.0,80.0,+0.62%,0.0,191736.0,12920.0,,
66.0,코스모신소재,170500.0,3500.0,-2.01%,1000.0,175426.0,170400.0,709.0,
67.0,한국항공우주,52800.0,600.0,+1.15%,5000.0,209184.0,52800.0,1215.0,250.0
68.0,한온시스템,9530.0,80.0,-0.83%,100.0,207025.0,9570.0,38.0,360.0
69.0,넷마블,58800.0,700.0,+1.20%,100.0,60539.0,59100.0,-9531.0,
70.0,오리온,127800.0,4100.0,-3.11%,500.0,49803.0,128100.0,9924.0,950.0
71.0,삼성중공업,5650.0,80.0,+1.44%,1000.0,2229660.0,5680.0,-574.0,
72.0,LG유플러스,11210.0,60.0,+0.54%,5000.0,335379.0,11250.0,1519.0,650.0
73.0,CJ제일제당,323000.0,2500.0,+0.78%,5000.0,11218.0,323500.0,36378.0,5500.0
74.0,TIGER CD금리투자KIS(합성),52380.0,0.0,0.00%,0.0,61751.0,52385.0,,
75.0,현대제철,34950.0,50.0,+0.14%,5000.0,115149.0,35000.0,7625.0,1000.0
76.0,HD현대,57900.0,200.0,+0.35%,1000.0,28715.0,58200.0,17832.0,4600.0
77.0,한국타이어앤테크놀로지,36700.0,50.0,-0.14%,500.0,64810.0,36800.0,5572.0,800.0
78.0,유한양행,57300.0,200.0,-0.35%,1000.0,30947.0,57600.0,1223.0,382.0
79.0,현대건설,39300.0,400.0,+1.03%,5000.0,169419.0,39550.0,3637.0,600.0
80.0,미래에셋증권,6980.0,0.0,0.00%,5000.0,233818.0,7030.0,830.0,200.0
81.0,현대차2우B,113300.0,800.0,-0.70%,5000.0,19255.0,113500.0,26592.0,
82.0,강원랜드,18530.0,10.0,+0.05%,500.0,145497.0,18600.0,540.0,350.0
83.0,금호석유,132900.0,400.0,+0.30%,5000.0,16021.0,133700.0,31017.0,5400.0
84.0,한미약품,296000.0,1500.0,-0.50%,2500.0,5217.0,297500.0,6591.0,490.0
85.0,GS,39550.0,250.0,-0.63%,5000.0,29457.0,39800.0,22629.0,2500.0
86.0,코웨이,49000.0,650.0,+1.34%,500.0,91237.0,49200.0,6208.0,1300.0
87.0,KODEX KOFR금리액티브(합성),103040.0,25.0,+0.02%,0.0,248914.0,103040.0,,
88.0,SKC,92400.0,800.0,-0.86%,5000.0,65130.0,92800.0,-1805.0,1100.0
89.0,삼성카드,30150.0,50.0,+0.17%,5000.0,16932.0,30250.0,5371.0,2500.0
90.0,현대오토에버,125000.0,1600.0,-1.26%,500.0,13862.0,126000.0,4154.0,1140.0
91.0,현대로템,31250.0,100.0,+0.32%,5000.0,626476.0,31350.0,1812.0,
92.0,씨에스윈드,76300.0,900.0,-1.17%,500.0,125485.0,76200.0,-23.0,500.0
93.0,호텔신라,81600.0,100.0,+0.12%,5000.0,53496.0,81800.0,-1254.0,200.0
94.0,삼성증권,35100.0,50.0,-0.14%,5000.0,58816.0,35250.0,4730.0,1700.0
95.0,NH투자증권,9440.0,60.0,+0.64%,5000.0,124874.0,9470.0,882.0,700.0
96.0,BGF리테일,180100.0,0.0,0.00%,1000.0,6844.0,181600.0,11198.0,4100.0
97.0,롯데지주,28950.0,100.0,+0.35%,200.0,62896.0,29000.0,1614.0,1500.0
98.0,현대해상,33850.0,100.0,+0.30%,500.0,99917.0,33900.0,6427.0,1965.0
99.0,한국금융지주,54200.0,0.0,0.00%,5000.0,39515.0,54700.0,10341.0,2300.0
100.0,금양,52000.0,2000.0,-3.70%,500.0,554877.0,52100.0,-549.0,
101.0,쌍용C&E,5800.0,0.0,0.00%,100.0,151700.0,5830.0,254.0,440.0
102.0,OCI,119800.0,0.0,0.00%,5000.0,0.0,0.0,36910.0,2500.0
103.0,LG화학우,368000.0,7000.0,-1.87%,5000.0,9511.0,369500.0,20840.0,
104.0,한진칼,41850.0,650.0,+1.58%,2500.0,18048.0,42050.0,10161.0,170.0
105.0,TIGER 차이나전기차SOLACTIVE,11020.0,105.0,-0.94%,0.0,1518605.0,11050.0,,
106.0,팬오션,5160.0,80.0,-1.53%,1000.0,713238.0,5180.0,1174.0,150.0
107.0,한화시스템,14570.0,240.0,+1.67%,5000.0,484020.0,14560.0,520.0,250.0
108.0,현대미포조선,68600.0,300.0,-0.44%,5000.0,74322.0,69000.0,-1116.0,
109.0,KODEX 종합채권(AA-이상)액티브,105255.0,245.0,-0.23%,0.0,803.0,105245.0,,
110.0,대우조선해양,25450.0,50.0,+0.20%,5000.0,149936.0,25500.0,-12801.0,0.0
111.0,DB하이텍,61400.0,1700.0,+2.85%,5000.0,709477.0,62600.0,10705.0,1300.0
112.0,현대차우,110300.0,600.0,-0.54%,5000.0,32265.0,110800.0,26592.0,
113.0,아모레G,32250.0,750.0,+2.38%,500.0,111350.0,32300.0,648.0,205.0
114.0,GS리테일,25300.0,50.0,-0.20%,1000.0,51095.0,25400.0,386.0,430.0
115.0,LS,81900.0,2900.0,-3.42%,5000.0,164629.0,82200.0,14024.0,1550.0
116.0,한미사이언스,37600.0,400.0,+1.08%,500.0,45413.0,37700.0,989.0,196.0
117.0,한전기술,67600.0,100.0,+0.15%,200.0,55347.0,67900.0,745.0,283.0
118.0,CJ,88400.0,1900.0,-2.10%,5000.0,47518.0,88600.0,5666.0,2500.0
119.0,한솔케미칼,227500.0,12000.0,+5.57%,5000.0,68957.0,227500.0,13685.0,2100.0
120.0,농심,422000.0,6000.0,-1.40%,5000.0,6373.0,423500.0,19091.0,5000.0
121.0,롯데에너지머티리얼즈,55300.0,700.0,-1.25%,500.0,156036.0,55500.0,950.0,300.0
122.0,TIGER 200,33395.0,320.0,+0.97%,0.0,124919.0,33495.0,,
123.0,키움증권,94100.0,500.0,-0.53%,5000.0,17675.0,95000.0,17467.0,3000.0
124.0,이마트,87600.0,700.0,+0.81%,5000.0,47310.0,87800.0,36924.0,2000.0
125.0,한국가스공사,25750.0,200.0,-0.77%,5000.0,67922.0,25900.0,9673.0,
126.0,TIGER 미국나스닥100,82650.0,1655.0,+2.04%,0.0,102561.0,82595.0,,
127.0,동원산업,46250.0,0.0,0.00%,1000.0,23410.0,46450.0,7908.0,1100.0
128.0,롯데쇼핑,81700.0,500.0,-0.61%,5000.0,14736.0,81900.0,-11473.0,3300.0
129.0,한미반도체,23700.0,2350.0,+11.01%,100.0,6324417.0,22850.0,934.0,200.0
130.0,휠라홀딩스,36950.0,550.0,+1.51%,1000.0,56737.0,37000.0,5424.0,1580.0
131.0,HL만도,47350.0,100.0,+0.21%,1000.0,89851.0,47400.0,2093.0,500.0
132.0,BNK금융지주,6700.0,0.0,0.00%,5000.0,144020.0,6720.0,2486.0,625.0
133.0,한화생명,2495.0,5.0,+0.20%,5000.0,349933.0,2510.0,844.0,
134.0,한화,28850.0,100.0,-0.35%,5000.0,96993.0,29050.0,13402.0,750.0
135.0,에스원,56300.0,1300.0,+2.36%,500.0,26346.0,56600.0,4133.0,2500.0
136.0,제일기획,18460.0,100.0,+0.54%,200.0,97622.0,18500.0,1639.0,1150.0
137.0,동서,21100.0,100.0,+0.48%,500.0,34311.0,21100.0,1723.0,730.0
138.0,KODEX 레버리지,16355.0,320.0,+2.00%,0.0,8092296.0,16445.0,,
139.0,KODEX 200TR,11375.0,125.0,+1.11%,0.0,15677.0,11405.0,,
140.0,신세계,208500.0,1000.0,+0.48%,5000.0,11059.0,208500.0,41245.0,3750.0
141.0,영원무역,45700.0,100.0,-0.22%,500.0,16694.0,45900.0,16032.0,1530.0
142.0,두산퓨얼셀,30650.0,100.0,+0.33%,100.0,70717.0,30700.0,106.0,
143.0,효성첨단소재,436000.0,500.0,-0.11%,5000.0,18348.0,440500.0,22839.0,15000.0
144.0,KODEX 200선물인버스2X,2640.0,50.0,-1.86%,0.0,62427077.0,2625.0,,
145.0,HD현대인프라코어,9670.0,80.0,+0.83%,1000.0,1094057.0,9710.0,1163.0,240.0
146.0,KG모빌리티,10200.0,200.0,-1.92%,5000.0,615442.0,10240.0,-1071.0,0.0
147.0,KCC,213000.0,500.0,+0.24%,5000.0,8672.0,214000.0,3811.0,8000.0
148.0,에스디바이오센서,17910.0,180.0,-1.00%,500.0,104349.0,17960.0,8811.0,990.0
149.0,덴티움,167300.0,200.0,+0.12%,500.0,37534.0,167200.0,7776.0,300.0
150.0,TIGER 미국S&P500,14050.0,180.0,+1.30%,0.0,712167.0,14035.0,,
151.0,CJ대한통운,80800.0,400.0,-0.49%,5000.0,12523.0,81300.0,8730.0,500.0
152.0,대한전선,14780.0,30.0,+0.20%,1000.0,388346.0,14810.0,177.0,0.0
153.0,LS ELECTRIC,61100.0,2500.0,-3.93%,5000.0,65055.0,61900.0,3010.0,1100.0
154.0,오뚜기,456000.0,1000.0,+0.22%,5000.0,932.0,457000.0,67769.0,9000.0
155.0,GS건설,21050.0,150.0,+0.72%,5000.0,140153.0,21200.0,3964.0,1300.0
156.0,LX세미콘,109500.0,1400.0,+1.30%,500.0,79412.0,109800.0,14368.0,4500.0
157.0,현대엘리베이,43600.0,900.0,+2.11%,5000.0,154143.0,43600.0,1920.0,500.0
158.0,대우건설,4255.0,45.0,+1.07%,5000.0,319905.0,4280.0,1213.0,
159.0,에스엘,38050.0,450.0,-1.17%,500.0,186810.0,38550.0,3290.0,600.0
160.0,효성티앤씨,403000.0,6500.0,-1.59%,5000.0,6045.0,406500.0,-5804.0,10000.0
161.0,LIG넥스원,77900.0,1000.0,-1.27%,5000.0,47130.0,78300.0,6405.0,1500.0
162.0,TIGER 미국테크TOP10 INDXX,12265.0,270.0,+2.25%,0.0,954907.0,12265.0,,
163.0,현대위아,61400.0,100.0,-0.16%,5000.0,59358.0,61600.0,2405.0,700.0
164.0,HD현대일렉트릭,45950.0,1550.0,-3.26%,5000.0,111551.0,45850.0,4508.0,500.0
165.0,JB금융지주,8400.0,30.0,-0.36%,5000.0,102104.0,8420.0,3051.0,835.0
166.0,코스모화학,46950.0,1700.0,-3.49%,1000.0,417946.0,47300.0,335.0,0.0
167.0,하이트진로,23400.0,200.0,+0.86%,5000.0,70941.0,23400.0,1009.0,950.0
168.0,TIGER 미국필라델피아반도체나스닥,11445.0,335.0,+3.02%,0.0,2034983.0,11445.0,,
169.0,두산,95000.0,600.0,-0.63%,5000.0,17693.0,95600.0,-32522.0,2000.0
170.0,한전KPS,34750.0,50.0,-0.14%,200.0,51136.0,34900.0,2785.0,1305.0
171.0,롯데정밀화학,60500.0,1300.0,-2.10%,5000.0,27556.0,61100.0,5665.0,3500.0
172.0,KODEX 23-12 은행채(AA+이상)액티브,10285.0,5.0,-0.05%,0.0,2031.0,10290.0,,
173.0,녹십자,125600.0,1000.0,+0.80%,5000.0,4169.0,125700.0,5601.0,1750.0
174.0,금호타이어,4970.0,90.0,+1.84%,5000.0,273495.0,4980.0,-202.0,
175.0,효성,66000.0,100.0,+0.15%,5000.0,37743.0,66000.0,743.0,4500.0
176.0,DL이앤씨,35100.0,250.0,+0.72%,5000.0,51200.0,35350.0,9366.0,1000.0
177.0,TIGER MSCI Korea TR,14195.0,165.0,+1.18%,0.0,28293.0,14225.0,,
178.0,롯데칠성,141900.0,200.0,+0.14%,500.0,5845.0,142400.0,12772.0,3300.0
179.0,솔루스첨단소재,37500.0,50.0,+0.13%,100.0,24966.0,37650.0,-500.0,100.0
180.0,한국앤컴퍼니,13540.0,130.0,+0.97%,500.0,70407.0,13680.0,1749.0,650.0
181.0,대웅제약,110900.0,200.0,+0.18%,2500.0,11501.0,111400.0,3646.0,600.0
182.0,KBSTAR 200,33590.0,325.0,+0.98%,0.0,27526.0,33685.0,,
183.0,SK케미칼,72500.0,300.0,+0.42%,5000.0,9593.0,72600.0,9736.0,1500.0
184.0,GKL,20100.0,200.0,+1.01%,500.0,101024.0,20100.0,156.0,
185.0,현대백화점,53000.0,300.0,+0.57%,5000.0,18441.0,53100.0,6157.0,1300.0
186.0,후성,13130.0,170.0,+1.31%,500.0,493076.0,13210.0,1047.0,20.0
187.0,솔루엠,24550.0,200.0,-0.81%,500.0,214307.0,24550.0,1650.0,
188.0,LX인터내셔널,31650.0,650.0,-2.01%,5000.0,168793.0,31850.0,12544.0,3000.0
189.0,KBSTAR 종합채권(A-이상)액티브,97685.0,255.0,-0.26%,0.0,51.0,97690.0,,
190.0,TIGER 2차전지테마,27745.0,695.0,-2.44%,0.0,707001.0,27805.0,,
191.0,명신산업,23100.0,350.0,+1.54%,500.0,903706.0,23200.0,2034.0,
192.0,SK가스,131200.0,900.0,+0.69%,5000.0,1139.0,131300.0,29264.0,6500.0
193.0,KODEX 삼성그룹,9200.0,125.0,+1.38%,0.0,374827.0,9230.0,,
194.0,KODEX 단기채권PLUS,106580.0,5.0,0.00%,0.0,15585.0,106585.0,,
195.0,DGB금융지주,7020.0,10.0,+0.14%,5000.0,108794.0,7050.0,2374.0,650.0
196.0,동원시스템즈,40850.0,700.0,-1.68%,5000.0,21795.0,41300.0,2463.0,600.0
197.0,HD현대건설기계,60100.0,500.0,-0.83%,5000.0,75955.0,60600.0,6673.0,1750.0
198.0,아이에스동서,38050.0,250.0,-0.65%,500.0,48311.0,38300.0,6334.0,
199.0,코오롱인더,42500.0,0.0,0.00%,5000.0,56908.0,42600.0,5937.0,1300.0
200.0,KODEX Top5PlusTR,16965.0,200.0,+1.19%,0.0,971.0,17035.0,,
201.0,이수화학,41500.0,0.0,0.00%,5000.0,0.0,0.0,992.0,500.0
202.0,풍산,40550.0,250.0,+0.62%,5000.0,76468.0,40900.0,6250.0,1000.0
203.0,한올바이오파마,21600.0,950.0,-4.21%,500.0,206955.0,21800.0,5.0,
204.0,한샘,47250.0,550.0,+1.18%,1000.0,14746.0,47500.0,-3031.0,800.0
205.0,동국제강,11580.0,60.0,+0.52%,5000.0,93508.0,11590.0,4328.0,500.0
206.0,대덕전자,22350.0,1500.0,+7.19%,500.0,1048363.0,22500.0,3082.0,400.0
207.0,KODEX 2차전지산업,26750.0,615.0,-2.25%,0.0,702801.0,26830.0,,
208.0,일진하이솔루스,30050.0,250.0,-0.83%,500.0,26712.0,30150.0,255.0,
209.0,SK네트웍스,4595.0,40.0,+0.88%,2500.0,242096.0,4605.0,348.0,120.0
210.0,코리안리,7630.0,120.0,-1.55%,500.0,68256.0,7630.0,1121.0,430.0
211.0,종근당,85300.0,200.0,-0.23%,2500.0,4345.0,85800.0,7907.0,954.0
212.0,삼아알미늄,72600.0,2200.0,-2.94%,500.0,59415.0,72500.0,1564.0,250.0
213.0,TIGER TOP10,11160.0,115.0,+1.04%,0.0,51156.0,11190.0,,
214.0,SK오션플랜트,19590.0,190.0,-0.96%,500.0,88399.0,19580.0,524.0,0.0
215.0,제주항공,13540.0,100.0,+0.74%,1000.0,56312.0,13550.0,-2816.0,
216.0,롯데렌탈,27950.0,150.0,-0.53%,5000.0,15201.0,27950.0,2577.0,900.0
217.0,TIGER 단기통안채,103415.0,5.0,0.00%,0.0,649544.0,103420.0,,
218.0,SK리츠,5120.0,20.0,-0.39%,500.0,43504.0,5130.0,19.0,66.0
219.0,더존비즈온,32750.0,300.0,-0.91%,500.0,20265.0,32950.0,757.0,123.0
220.0,영풍,539000.0,4000.0,+0.75%,5000.0,374.0,542000.0,199327.0,10000.0
221.0,코스맥스,87000.0,200.0,+0.23%,500.0,29447.0,86800.0,1837.0,
222.0,오리온홀딩스,15760.0,0.0,0.00%,500.0,23716.0,15820.0,1651.0,700.0
223.0,롯데웰푸드,103900.0,200.0,+0.19%,500.0,1880.0,104100.0,5931.0,2300.0
224.0,NHN,28050.0,750.0,+2.75%,500.0,10149.0,28000.0,-869.0,0.0
225.0,DL,46650.0,550.0,+1.19%,5000.0,16309.0,46900.0,2680.0,1000.0
226.0,PI첨단소재,32950.0,350.0,+1.07%,500.0,38843.0,33050.0,1557.0,779.0
227.0,TKG휴켐스,23250.0,50.0,-0.21%,1000.0,45150.0,23400.0,2001.0,1000.0
228.0,아시아나항공,12730.0,20.0,+0.16%,5000.0,56790.0,12720.0,1484.0,
229.0,애경케미칼,19410.0,690.0,-3.43%,500.0,944672.0,19430.0,1236.0,550.0
230.0,롯데리츠,3870.0,5.0,-0.13%,500.0,20887.0,3870.0,115.0,143.0
231.0,영원무역홀딩스,68500.0,300.0,-0.44%,500.0,1297.0,68800.0,32330.0,3050.0
232.0,대한유화,141300.0,300.0,-0.21%,5000.0,8509.0,141600.0,-22931.0,1000.0
233.0,KG스틸,9120.0,150.0,-1.62%,5000.0,302510.0,9150.0,5357.0,150.0
234.0,영풍제지,19590.0,950.0,+5.10%,500.0,91383.0,19380.0,153.0,335.0
235.0,신풍제약,16910.0,400.0,+2.42%,500.0,215489.0,16980.0,-641.0,
236.0,율촌화학,36050.0,250.0,-0.69%,500.0,37978.0,36500.0,-167.0,250.0
237.0,세아베스틸지주,24850.0,400.0,+1.64%,5000.0,156017.0,24950.0,2537.0,1200.0
238.0,제이알글로벌리츠,4505.0,15.0,-0.33%,1000.0,97563.0,4500.0,205.0,
239.0,하나투어,55300.0,200.0,+0.36%,500.0,27777.0,55600.0,-4370.0,
240.0,ESR켄달스퀘어리츠,4130.0,30.0,+0.73%,1000.0,50666.0,4125.0,209.0,136.0
241.0,LG전자우,51200.0,0.0,0.00%,5000.0,5259.0,51300.0,6616.0,
242.0,한국콜마,38100.0,250.0,+0.66%,500.0,32900.0,38150.0,-961.0,500.0
243.0,KODEX 코스닥150레버리지,10070.0,5.0,-0.05%,0.0,7743123.0,10110.0,,
244.0,넥센타이어,8830.0,680.0,+8.34%,500.0,561799.0,8890.0,-267.0,100.0
245.0,대웅,14820.0,50.0,+0.34%,500.0,17921.0,14880.0,1764.0,100.0
246.0,한일시멘트,12440.0,100.0,-0.80%,500.0,17618.0,12500.0,1138.0,580.0
247.0,롯데관광개발,11620.0,150.0,-1.27%,500.0,182262.0,11620.0,-3721.0,
248.0,KODEX 단기채권,105965.0,10.0,-0.01%,0.0,476109.0,105965.0,,
249.0,더블유게임즈,47100.0,350.0,+0.75%,500.0,7472.0,47250.0,-7196.0,600.0
250.0,다우기술,18890.0,100.0,+0.53%,500.0,10685.0,18890.0,9716.0,600.0
251.0,해성디에스,49400.0,2400.0,+5.11%,5000.0,191810.0,49700.0,9376.0,900.0
252.0,HDC현대산업개발,12600.0,180.0,+1.45%,5000.0,110455.0,12620.0,764.0,600.0
253.0,TCC스틸,31500.0,650.0,-2.02%,1000.0,163785.0,31600.0,228.0,120.0
254.0,삼양식품,108900.0,200.0,+0.18%,5000.0,18818.0,109100.0,10593.0,1400.0
255.0,이노션,40550.0,50.0,+0.12%,500.0,5642.0,40550.0,3530.0,2150.0
256.0,F&F홀딩스,20500.0,350.0,+1.74%,500.0,9647.0,20550.0,3380.0,350.0
257.0,미원상사,163700.0,1400.0,+0.86%,500.0,480.0,163800.0,14546.0,1500.0
258.0,진에어,15060.0,40.0,-0.26%,1000.0,55803.0,15090.0,796.0,
259.0,DN오토모티브,78400.0,0.0,0.00%,500.0,8180.0,78800.0,22589.0,2500.0
260.0,KODEX 인버스,4585.0,50.0,-1.08%,0.0,9917773.0,4580.0,,
261.0,TIGER 200 IT,31080.0,495.0,+1.62%,0.0,32876.0,31220.0,,
262.0,SNT모티브,51600.0,300.0,-0.58%,5000.0,18545.0,51900.0,6465.0,1600.0
263.0,태광산업,675000.0,3000.0,+0.45%,5000.0,104.0,675000.0,306968.0,1750.0
264.0,녹십자홀딩스,15710.0,10.0,+0.06%,500.0,21225.0,15800.0,663.0,300.0
265.0,세방전지,52300.0,3700.0,-6.61%,500.0,135137.0,52600.0,3059.0,600.0
266.0,자화전자,33000.0,100.0,-0.30%,500.0,84580.0,33000.0,-2865.0,0.0
267.0,KODEX 자동차,19255.0,85.0,-0.44%,0.0,127682.0,19300.0,,
268.0,CJ CGV,14980.0,30.0,+0.20%,500.0,31413.0,14990.0,-2263.0,0.0
269.0,효성중공업,76500.0,1100.0,-1.42%,5000.0,18751.0,76800.0,1730.0,
270.0,미원에스씨,138400.0,0.0,0.00%,500.0,680.0,138400.0,12711.0,2300.0
271.0,KODEX 코스닥150선물인버스,4215.0,5.0,+0.12%,0.0,15919521.0,4210.0,,
272.0,ARIRANG 200,33840.0,320.0,+0.95%,0.0,7055.0,33950.0,,
273.0,ACE 종합채권(AA-이상)KIS액티브,96240.0,250.0,-0.26%,0.0,148.0,96240.0,,
274.0,세아제강지주,163300.0,4300.0,-2.57%,5000.0,2799.0,166000.0,79780.0,2250.0
275.0,신세계인터내셔날,18890.0,30.0,+0.16%,1000.0,29323.0,18880.0,3313.0,500.0
276.0,KCC글라스,42200.0,0.0,0.00%,1000.0,9916.0,42350.0,5884.0,2400.0
277.0,대신증권,13260.0,50.0,+0.38%,5000.0,9735.0,13270.0,1336.0,1200.0
278.0,케이카,13970.0,400.0,+2.95%,500.0,94256.0,14030.0,637.0,760.0
279.0,한세실업,16680.0,10.0,-0.06%,500.0,29812.0,16740.0,1957.0,500.0
280.0,대상,19120.0,110.0,+0.58%,1000.0,26780.0,19140.0,2306.0,800.0
281.0,SPC삼립,76600.0,500.0,+0.66%,5000.0,1967.0,76600.0,6170.0,1700.0
282.0,SK디스커버리,34250.0,250.0,+0.74%,5000.0,18972.0,34450.0,20956.0,1700.0
283.0,이엔플러스,10680.0,1100.0,+11.48%,500.0,6522124.0,10620.0,-640.0,0.0
